Date,1211.SR,2010.SR,7010.SR,ETEL.CA,IGIC,KFH.KW,NBK.KW,QAT,SWDY.CA,UAE
2018-04-10,18.03333282470703,118.4000015258789,33.599998474121094,12.670000076293945,9.569999694824219,273.7489929199219,518.0859985351562,17.059999465942383,23.909000396728516,16.68000030517578
2018-04-11,17.53333282470703,117.4000015258789,33.040000915527344,12.9399995803833,9.5600004196167,274.2770080566406,520.218017578125,16.889999389648438,24.27199935913086,16.6200008392334
2018-04-12,17.66666603088379,116.80000305175781,33.0,13.180000305175781,9.550000190734863,271.11199951171875,513.822021484375,16.90999984741211,23.795000076293945,16.6200008392334
2018-04-13,17.66666603088379,116.80000305175781,33.0,13.180000305175781,9.550000190734863,271.11199951171875,513.822021484375,16.815000534057617,23.795000076293945,16.59000015258789
2018-04-15,17.799999237060547,118.80000305175781,33.31999969482422,13.720000267028809,9.550000190734863,271.11199951171875,513.822021484375,16.815000534057617,23.433000564575195,16.59000015258789
2018-04-16,17.899999618530273,120.19999694824219,33.36000061035156,13.84000015258789,9.550000190734863,272.6940002441406,515.2429809570312,16.850000381469727,23.371000289916992,16.790000915527344
2018-04-17,17.899999618530273,122.4000015258789,33.7599983215332,14.3100004196167,9.550000190734863,273.22198486328125,515.2429809570312,16.92799949645996,23.29199981689453,16.81999969482422
2018-04-18,18.066665649414062,121.0,34.0,14.510000228881836,9.550000190734863,273.22198486328125,514.5330200195312,17.06999969482422,23.0049991607666,16.700000762939453
2018-04-19,19.133333206176758,122.80000305175781,33.880001068115234,14.84000015258789,9.579999923706055,272.6940002441406,513.822021484375,17.219999313354492,23.275999069213867,16.551000595092773
2018-04-20,19.133333206176758,122.80000305175781,33.880001068115234,14.84000015258789,9.579999923706055,272.6940002441406,513.822021484375,17.23900032043457,23.275999069213867,16.51099967956543
2018-04-22,19.03333282470703,122.0,33.279998779296875,15.100000381469727,9.579999923706055,272.1669921875,516.6649780273438,17.23900032043457,23.959999084472656,16.51099967956543
2018-04-23,19.266666412353516,122.80000305175781,33.79999923706055,15.109999656677246,9.579999923706055,272.1669921875,519.5079956054688,17.299999237060547,23.60700035095215,16.51099967956543
2018-04-24,18.899999618530273,122.4000015258789,33.880001068115234,14.90999984741211,9.579999923706055,270.5840148925781,523.77197265625,17.0,23.503000259399414,16.219999313354492
2018-04-25,18.633333206176758,121.19999694824219,33.36000061035156,14.90999984741211,9.579999923706055,271.11199951171875,530.8779907226562,17.15999984741211,23.503000259399414,16.226999282836914
2018-04-26,18.600000381469727,118.5999984741211,33.119998931884766,14.8100004196167,9.579999923706055,270.5840148925781,531.5889892578125,17.290000915527344,25.145000457763672,16.6200008392334
2018-04-27,18.600000381469727,118.5999984741211,33.119998931884766,14.8100004196167,9.579999923706055,270.5840148925781,531.5889892578125,17.219999313354492,25.145000457763672,16.531999588012695
2018-04-29,18.66666603088379,118.0,32.959999084472656,15.5600004196167,9.579999923706055,270.5840148925781,529.4569702148438,17.219999313354492,24.804000854492188,16.531999588012695
2018-04-30,19.0,114.5999984741211,33.08000183105469,16.110000610351562,9.579999923706055,271.6390075683594,530.1680297851562,17.11400032043457,25.14699935913086,16.530000686645508
2018-05-01,18.799999237060547,114.19999694824219,33.15999984741211,16.110000610351562,9.579999923706055,273.7489929199219,528.7459716796875,17.010000228881836,25.14699935913086,16.540000915527344
2018-05-02,18.66666603088379,114.0,33.279998779296875,16.1200008392334,9.579999923706055,274.8039855957031,525.1929931640625,16.899999618530273,24.368000030517578,16.389999389648438
2018-05-03,19.100000381469727,113.80000305175781,33.439998626708984,15.640000343322754,9.579999923706055,275.8590087890625,525.9039916992188,16.440000534057617,23.871999740600586,16.3700008392334
2018-05-04,19.100000381469727,113.80000305175781,33.439998626708984,15.640000343322754,9.579999923706055,275.8590087890625,525.9039916992188,16.621999740600586,23.871999740600586,16.399999618530273
2018-05-06,19.0,114.5999984741211,33.400001525878906,15.770000457763672,9.579999923706055,277.968994140625,524.4819946289062,16.621999740600586,23.566999435424805,16.399999618530273
2018-05-07,19.0,114.0,33.560001373291016,15.979999542236328,9.640000343322754,279.02398681640625,525.1929931640625,16.799999237060547,23.490999221801758,16.260000228881836
2018-05-08,18.799999237060547,114.0,33.040000915527344,16.860000610351562,9.640000343322754,279.02398681640625,525.1929931640625,16.701000213623047,23.527000427246094,16.149999618530273
