SWDY.CA,count
3.4000000953674316,14
17.405000686645508,12
8.600000381469727,12
8.5,10
8.0,10
8.199999809265137,9
4.599999904632568,9
4.699999809265137,9
8.399999618530273,9
8.300000190734863,9
80.5,9
3.5,8
5.260000228881836,8
7.429999828338623,8
4.199999809265137,8
4.381999969482422,8
4.300000190734863,8
4.800000190734863,8
74.48999786376953,8
9.029999732971191,7
47.0,7
7.210000038146973,7
8.010000228881836,7
7.099999904632568,7
8.479999542236328,7
8.5600004196167,7
9.600000381469727,7
77.0,7
78.0,7
8.800000190734863,7
8.739999771118164,7
7.159999847412109,7
8.699999809265137,7
4.297999858856201,7
9.100000381469727,7
9.449999809265137,7
8.34000015258789,6
4.6539998054504395,6
4.801000118255615,6
7.599999904632568,6
13.979999542236328,6
82.0,6
75.0,6
7.480000019073486,6
4.949999809265137,6
13.40999984741211,6
7.510000228881836,6
7.179999828338623,6
7.829999923706055,6
14.289999961853027,6
9.079999923706055,6
7.409999847412109,5
7.309999942779541,5
79.01000213623047,5
23.3799991607666,5
76.52999877929688,5
77.5,5
7.699999809265137,5
8.380000114440918,5
8.75,5
9.15999984741211,5
8.489999771118164,5
32.61000061035156,5
31.649999618530273,5
22.65999984741211,5
7.539999961853027,5
12.0,5
19.450000762939453,5
3.500999927520752,5
7.860000133514404,5
7.46999979019165,5
4.511000156402588,5
4.631999969482422,5
13.619999885559082,5
12.84000015258789,5
13.180000305175781,5
13.800000190734863,5
8.420000076293945,5
13.100000381469727,5
9.489999771118164,5
7.639999866485596,5
7.690000057220459,5
7.559999942779541,5
7.329999923706055,5
13.84000015258789,5
15.40999984741211,5
4.581999778747559,5
5.309000015258789,5
6.050000190734863,5
8.6899995803833,5
8.878000259399414,5
7.697000026702881,5
5.494999885559082,5
4.380000114440918,5
4.348999977111816,5
4.105999946594238,5
3.4189999103546143,5
4.383999824523926,5
4.218999862670898,5
4.510000228881836,5
4.64900016784668,5
3.561000108718872,4
4.500999927520752,4
4.449999809265137,4
5.119999885559082,4
8.260000228881836,4
4.296999931335449,4
18.299999237060547,4
4.550000190734863,4
76.55000305175781,4
17.450000762939453,4
8.460000038146973,4
8.220000267028809,4
8.520000457763672,4
8.029999732971191,4
8.470000267028809,4
4.400000095367432,4
7.561999797821045,4
14.0,4
4.63100004196167,4
23.85700035095215,4
19.930999755859375,4
14.15999984741211,4
7.960000038146973,4
8.40999984741211,4
9.390000343322754,4
7.820000171661377,4
7.659999847412109,4
8.050000190734863,4
8.289999961853027,4
29.5,4
9.399999618530273,4
7.849999904632568,4
9.220000267028809,4
9.039999961853027,4
7.906000137329102,4
7.130000114440918,4
7.289999961853027,4
13.020000457763672,4
79.88999938964844,4
4.89900016784668,4
12.199999809265137,4
12.260000228881836,4
35.0,4
7.679999828338623,4
9.118000030517578,4
6.289999961853027,4
6.71999979019165,4
4.34499979019165,4
4.276000022888184,4
11.279999732971191,4
81.75,4
81.5,4
12.029999732971191,4
16.149999618530273,4
47.2599983215332,4
47.02000045776367,4
7.260000228881836,4
7.110000133514404,4
7.079999923706055,4
9.1899995803833,4
8.390000343322754,4
4.293000221252441,4
76.16000366210938,4
7.460000038146973,4
7.739999771118164,4
8.0600004196167,4
8.949999809265137,4
8.960000038146973,4
4.695000171661377,4
8.579999923706055,4
16.110000610351562,4
5.041999816894531,4
4.760000228881836,4
9.9399995803833,4
78.25,4
17.829999923706055,4
4.168000221252441,4
14.449999809265137,3
4.802000045776367,3
14.5,3
13.880000114440918,3
75.86000061035156,3
76.19999694824219,3
79.08999633789062,3
16.700000762939453,3
17.1299991607666,3
17.709999084472656,3
77.58999633789062,3
76.4800033569336,3
5.099999904632568,3
6.059999942779541,3
7.230000019073486,3
7.199999809265137,3
7.449999809265137,3
3.4509999752044678,3
7.570000171661377,3
14.979999542236328,3
16.1200008392334,3
16.450000762939453,3
16.399999618530273,3
19.260000228881836,3
76.02999877929688,3
9.149999618530273,3
8.920000076293945,3
8.989999771118164,3
8.239999771118164,3
7.840000152587891,3
7.71999979019165,3
84.5,3
4.829999923706055,3
78.69999694824219,3
8.59000015258789,3
11.234000205993652,3
10.4399995803833,3
10.223999977111816,3
4.349999904632568,3
14.741999626159668,3
10.869999885559082,3
8.65999984741211,3
10.1899995803833,3
9.8100004196167,3
4.900000095367432,3
10.8100004196167,3
4.150000095367432,3
3.9619998931884766,3
7.53000020980835,3
6.809999942779541,3
7.070000171661377,3
7.809999942779541,3
7.239999771118164,3
7.28000020980835,3
8.319999694824219,3
97.0,3
67.66999816894531,3
4.211999893188477,3
56.599998474121094,3
92.5,3
8.15999984741211,3
8.899999618530273,3
9.09000015258789,3
6.849999904632568,3
6.630000114440918,3
8.776000022888184,3
7.119999885559082,3
7.769999980926514,3
7.389999866485596,3
7.269999980926514,3
44.279998779296875,3
47.5099983215332,3
47.400001525878906,3
15.704000473022461,3
13.420000076293945,3
12.970000267028809,3
12.760000228881836,3
81.41999816894531,3
12.75,3
12.989999771118164,3
11.25,3
11.420000076293945,3
13.532999992370605,3
14.324000358581543,3
6.789999961853027,3
6.769999980926514,3
9.392999649047852,3
6.929999828338623,3
31.049999237060547,3
4.301000118255615,3
3.549999952316284,3
3.450000047683716,3
7.519999980926514,3
13.079999923706055,3
13.239999771118164,3
15.0,3
12.949999809265137,3
82.94000244140625,3
78.68000030517578,3
79.05000305175781,3
78.51000213623047,3
4.802999973297119,3
75.9000015258789,3
12.829999923706055,3
7.21999979019165,3
3.937000036239624,3
7.995999813079834,3
8.77400016784668,3
8.84000015258789,3
32.15999984741211,3
32.369998931884766,3
31.5,3
3.6459999084472656,3
9.170000076293945,3
8.979999542236328,3
8.779999732971191,3
8.649999618530273,3
8.329999923706055,3
10.40999984741211,3
10.260000228881836,3
10.229999542236328,3
8.569999694824219,3
9.699999809265137,3
9.829999923706055,3
9.350000381469727,3
9.529999732971191,3
27.5,3
29.25,3
27.15999984741211,3
10.210000038146973,3
9.020000457763672,3
9.3100004196167,3
8.880000114440918,3
23.0,3
22.360000610351562,3
22.59000015258789,3
8.539999961853027,3
14.1899995803833,3
13.649999618530273,3
13.0,3
13.539999961853027,3
14.039999961853027,3
14.020000457763672,3
77.08999633789062,3
79.0,3
14.229999542236328,3
18.170000076293945,3
14.130000114440918,3
7.940000057220459,3
8.359999656677246,3
8.930000305175781,3
7.499000072479248,3
7.984000205993652,3
17.09000015258789,3
20.0,3
18.809999465942383,3
4.39900016784668,3
8.706000328063965,3
8.180000305175781,3
8.210000038146973,3
8.039999961853027,3
8.3100004196167,3
8.670000076293945,3
8.020000457763672,3
9.359999656677246,3
7.414999961853027,3
7.343999862670898,3
11.960000038146973,3
12.800000190734863,3
13.399999618530273,3
4.363999843597412,3
19.299999237060547,3
16.270000457763672,3
16.579999923706055,3
18.399999618530273,3
18.040000915527344,3
16.059999465942383,3
4.208000183105469,3
4.251999855041504,3
4.656000137329102,3
75.05999755859375,3
17.850000381469727,3
16.8700008392334,3
19.961000442504883,3
7.909999847412109,3
7.340000152587891,3
7.900000095367432,3
5.877999782562256,3
7.550000190734863,3
4.697999954223633,3
6.449999809265137,3
3.552000045776367,3
3.5989999771118164,3
4.658999919891357,3
4.796999931335449,3
78.66000366210938,3
3.3980000019073486,3
77.93000030517578,3
3.2750000953674316,3
3.3959999084472656,2
79.02999877929688,2
78.52999877929688,2
3.244999885559082,2
15.15999984741211,2
5.1020002365112305,2
5.10699987411499,2
5.073999881744385,2
5.343999862670898,2
72.69000244140625,2
4.2230000495910645,2
3.3989999294281006,2
3.4240000247955322,2
78.95999908447266,2
16.25,2
16.65999984741211,2
16.81999969482422,2
16.75,2
14.069999694824219,2
19.224000930786133,2
19.554000854492188,2
9.050000190734863,2
9.260000228881836,2
6.699999809265137,2
6.800000190734863,2
7.0,2
7.300000190734863,2
7.059999942779541,2
3.5940001010894775,2
3.499000072479248,2
3.5420000553131104,2
3.502000093460083,2
4.2220001220703125,2
5.258999824523926,2
5.160999774932861,2
5.047999858856201,2
7.400000095367432,2
8.175999641418457,2
7.603000164031982,2
7.800000190734863,2
7.190000057220459,2
6.599999904632568,2
6.550000190734863,2
4.505000114440918,2
4.4770002365112305,2
4.574999809265137,2
4.708000183105469,2
11.270000457763672,2
4.763999938964844,2
6.261000156402588,2
6.232999801635742,2
6.02400016784668,2
6.034999847412109,2
12.25,2
12.460000038146973,2
12.539999961853027,2
13.25,2
12.890000343322754,2
13.600000381469727,2
4.328000068664551,2
13.75,2
16.420000076293945,2
8.130000114440918,2
7.349999904632568,2
8.25,2
7.579999923706055,2
7.789999961853027,2
8.829999923706055,2
8.012999534606934,2
8.14799976348877,2
7.590000152587891,2
8.710000038146973,2
8.170000076293945,2
8.119999885559082,2
8.619999885559082,2
8.819999694824219,2
8.270000457763672,2
8.069999694824219,2
9.789999961853027,2
8.449999809265137,2
8.369999885559082,2
7.881999969482422,2
7.693999767303467,2
8.510000228881836,2
11.930000305175781,2
7.807000160217285,2
8.204999923706055,2
9.137999534606934,2
17.100000381469727,2
18.239999771118164,2
20.899999618530273,2
18.940000534057617,2
18.100000381469727,2
18.469999313354492,2
18.920000076293945,2
3.7100000381469727,2
3.700000047683716,2
4.456999778747559,2
18.65999984741211,2
8.53600025177002,2
7.870999813079834,2
20.979999542236328,2
20.1200008392334,2
19.600000381469727,2
22.510000228881836,2
3.121000051498413,2
3.0179998874664307,2
4.565999984741211,2
3.937999963760376,2
3.9110000133514404,2
3.8949999809265137,2
27.530000686645508,2
29.969999313354492,2
9.380000114440918,2
9.5,2
8.550000190734863,2
7.610000133514404,2
28.450000762939453,2
28.399999618530273,2
3.5910000801086426,2
3.6510000228881836,2
3.375,2
28.75,2
28.25,2
28.610000610351562,2
9.619999885559082,2
10.149999618530273,2
9.0600004196167,2
8.440999984741211,2
8.272000312805176,2
8.100000381469727,2
8.494000434875488,2
22.299999237060547,2
8.232999801635742,2
8.217000007629395,2
7.959000110626221,2
7.953999996185303,2
8.149999618530273,2
10.300000190734863,2
10.430000305175781,2
7.784999847412109,2
8.206000328063965,2
8.586000442504883,2
8.531000137329102,2
9.479999542236328,2
28.920000076293945,2
28.0,2
23.65999984741211,2
27.200000762939453,2
9.119999885559082,2
28.329999923706055,2
26.149999618530273,2
27.639999389648438,2
31.860000610351562,2
29.889999389648438,2
29.0,2
3.5460000038146973,2
3.690000057220459,2
2.934999942779541,2
3.1019999980926514,2
3.503000020980835,2
33.4900016784668,2
8.609999656677246,2
8.720000267028809,2
8.576000213623047,2
42.5,2
42.619998931884766,2
33.0,2
33.7599983215332,2
4.224999904632568,2
4.204999923706055,2
3.4679999351501465,2
3.4739999771118164,2
3.496999979019165,2
35.900001525878906,2
7.380000114440918,2
8.907999992370605,2
8.838000297546387,2
8.888999938964844,2
3.7300000190734863,2
3.743000030517578,2
46.810001373291016,2
46.79999923706055,2
44.5099983215332,2
60.61000061035156,2
56.220001220703125,2
3.9649999141693115,2
4.172999858856201,2
6.349999904632568,2
3.6989998817443848,2
3.5799999237060547,2
8.303000450134277,2
9.050999641418457,2
6.960000038146973,2
7.25,2
7.440000057220459,2
41.4900016784668,2
8.822999954223633,2
9.569999694824219,2
8.890000343322754,2
6.440000057220459,2
6.96999979019165,2
6.739999771118164,2
6.980000019073486,2
8.802000045776367,2
8.781000137329102,2
8.916000366210938,2
8.696000099182129,2
6.940000057220459,2
7.010000228881836,2
7.03000020980835,2
37.0099983215332,2
34.560001373291016,2
10.309000015258789,2
4.830999851226807,2
7.5,2
8.140000343322754,2
46.91999816894531,2
60.9900016784668,2
57.61000061035156,2
57.90999984741211,2
58.13999938964844,2
4.401000022888184,2
4.206999778747559,2
4.203999996185303,2
4.0,2
9.045999526977539,2
9.20300006866455,2
8.9399995803833,2
10.543000221252441,2
9.39900016784668,2
91.0999984741211,2
88.51000213623047,2
100.3499984741211,2
89.5,2
90.98999786376953,2
88.26000213623047,2
88.02999877929688,2
87.80000305175781,2
4.849999904632568,2
89.30999755859375,2
90.8499984741211,2
79.22000122070312,2
8.49899959564209,2
10.494999885559082,2
75.30000305175781,2
10.399999618530273,2
10.460000038146973,2
6.260000228881836,2
10.833000183105469,2
10.585000038146973,2
12.538000106811523,2
11.937000274658203,2
11.302000045776367,2
11.512999534606934,2
6.389999866485596,2
7.75,2
4.677999973297119,2
9.291000366210938,2
10.520000457763672,2
10.57800006866455,2
13.628000259399414,2
13.562999725341797,2
80.93000030517578,2
83.5,2
75.87999725341797,2
75.51000213623047,2
80.0199966430664,2
81.05999755859375,2
83.52999877929688,2
82.9000015258789,2
85.5,2
4.578999996185303,2
4.697000026702881,2
4.7789998054504395,2
4.817999839782715,2
4.821000099182129,2
10.710000038146973,2
10.960000038146973,2
13.319999694824219,2
12.824999809265137,2
14.487000465393066,2
11.050000190734863,2
11.0,2
8.850000381469727,2
9.890000343322754,2
10.09000015258789,2
10.170000076293945,2
11.093999862670898,2
11.282999992370605,2
14.753999710083008,2
15.062000274658203,2
14.597000122070312,2
12.789999961853027,2
11.329999923706055,2
11.5,2
11.210000038146973,2
11.449999809265137,2
11.65999984741211,2
14.942999839782715,2
15.493000030517578,2
15.454999923706055,2
11.260000228881836,2
11.369999885559082,2
11.319999694824219,2
10.949999809265137,2
10.630000114440918,2
10.569999694824219,2
10.680000305175781,2
12.859999656677246,2
11.430000305175781,2
12.210000038146973,2
75.0999984741211,2
75.06999969482422,2
80.43000030517578,2
81.0,2
81.41000366210938,2
5.074999809265137,2
4.6519999504089355,2
4.76200008392334,2
4.822999954223633,2
4.736999988555908,2
84.80000305175781,2
80.16000366210938,2
80.44000244140625,2
14.854999542236328,2
20.847000122070312,2
13.449999809265137,2
82.11000061035156,2
78.48999786376953,2
80.9800033569336,2
76.5999984741211,2
78.44999694824219,2
4.001999855041504,2
4.636000156402588,2
78.05999755859375,2
12.979999542236328,2
12.899999618530273,2
15.628000259399414,2
15.041999816894531,2
13.15999984741211,2
14.0600004196167,2
20.86199951171875,2
16.37700080871582,2
25.145000457763672,2
23.503000259399414,2
23.275999069213867,2
23.795000076293945,2
13.90999984741211,2
12.40999984741211,2
12.149999618530273,2
12.350000381469727,2
13.029999732971191,2
13.850000381469727,2
14.649999618530273,2
14.789999961853027,2
15.220000267028809,2
76.76000213623047,2
76.43000030517578,2
77.01000213623047,2
73.0,2
75.95999908447266,2
80.31999969482422,2
79.19999694824219,2
76.0,2
4.994999885559082,2
5.089000225067139,2
4.65500020980835,2
4.701000213623047,2
4.723999977111816,2
13.380000114440918,2
13.960000038146973,2
14.170000076293945,2
23.871999740600586,2
25.14699935913086,2
20.825000762939453,2
20.534000396728516,2
21.437999725341797,2
20.94099998474121,2
15.579999923706055,2
15.619999885559082,2
13.899999618530273,2
13.819999694824219,2
14.25,2
22.013999938964844,2
22.440000534057617,2
4.517000198364258,2
13.149999618530273,2
13.229999542236328,2
16.969999313354492,2
17.40999984741211,2
16.920000076293945,2
22.260000228881836,2
21.972999572753906,2
19.90399932861328,2
17.209999084472656,2
18.139999389648438,2
16.34000015258789,2
16.1299991607666,2
16.229999542236328,2
15.550000190734863,2
4.330999851226807,2
4.3460001945495605,2
4.201000213623047,2
4.598999977111816,2
17.350000381469727,2
17.239999771118164,2
18.610000610351562,2
18.260000228881836,2
77.36000061035156,2
77.55000305175781,2
73.97000122070312,2
74.7699966430664,2
75.01000213623047,2
5.105000019073486,2
5.002999782562256,2
4.650000095367432,2
4.645999908447266,2
